Order_ID,Product_Key,Sales
CA-2015-100006,1439,377.97
CA-2015-100090,1032,502.488
CA-2015-100090,808,196.704
CA-2015-100293,647,91.056
CA-2015-100328,188,3.928
CA-2015-100363,1096,2.368
CA-2015-100363,1617,19.008
CA-2015-100391,1512,14.62
CA-2015-100678,294,317.058
CA-2015-100678,60,2.688
CA-2015-100678,640,149.352
CA-2015-100678,1546,227.976
CA-2015-100706,884,29.46
CA-2015-100706,969,99.98
CA-2015-100762,109,151.92
CA-2015-100762,514,196.62
CA-2015-100762,1435,144.12
CA-2015-100762,229,15.96
CA-2015-100860,1574,18.75
CA-2015-100867,1098,321.552
CA-2015-100881,174,302.376
CA-2015-100895,1266,8.56
CA-2015-100895,524,356.94
CA-2015-100895,522,239.97
CA-2015-100916,1128,591.32
CA-2015-100916,897,2.84
CA-2015-100916,42,194.7
CA-2015-100972,1257,166.44
CA-2015-101147,363,2.394
CA-2015-101175,1029,100.704
CA-2015-101266,487,13.36
CA-2015-101364,704,296.712
CA-2015-101392,1445,269.36
CA-2015-101427,1228,8.016
CA-2015-101462,1463,59.92
CA-2015-101476,384,69.99
CA-2015-101560,126,397.6
CA-2015-101560,349,13.12
CA-2015-101560,341,45.66
CA-2015-101560,1664,85.96
CA-2015-101602,642,763.28
CA-2015-101602,1060,40.68
CA-2015-101770,807,1.869
CA-2015-101833,700,34.44
CA-2015-101931,434,616.998
CA-2015-101931,310,7.184
CA-2015-101931,87,141.4
CA-2015-101931,265,480.74
CA-2015-101931,1619,6.28
CA-2015-102008,600,48.94
CA-2015-102085,150,29.24
CA-2015-102274,7,5.46
CA-2015-102274,1090,629.1
CA-2015-102274,563,193.95
CA-2015-102274,694,36.99
CA-2015-102295,1334,120.712
CA-2015-102330,433,88.8
CA-2015-102330,1292,319.968
CA-2015-102645,130,40.08
CA-2015-102652,1795,91.96
CA-2015-102652,286,33.11
CA-2015-102652,1508,55.48
CA-2015-102652,1177,19.44
CA-2015-102673,1016,10.272
CA-2015-102673,1025,7.52
CA-2015-102673,1152,47.808
CA-2015-102673,1652,978.84
CA-2015-102869,1038,17.472
CA-2015-102869,746,15.552
CA-2015-102869,1582,64.704
CA-2015-102869,954,135.516
CA-2015-102988,1222,22.96
CA-2015-102988,349,22.96
CA-2015-102988,222,12.96
CA-2015-102988,471,4164.05
CA-2015-102988,1141,28.99
CA-2015-103058,969,99.98
CA-2015-103086,1517,5.312
CA-2015-103100,1521,1103.97
CA-2015-103100,1676,3.69
CA-2015-103191,952,331.536
CA-2015-103219,980,56.52
CA-2015-103310,1498,256.784
CA-2015-103310,1702,39.96
CA-2015-103310,1756,41.04
CA-2015-103310,1130,1432.0
CA-2015-103317,1134,19.52
CA-2015-103317,1772,213.216
CA-2015-103317,1527,9.81
CA-2015-103331,1593,10.68
CA-2015-103331,1227,17.34
CA-2015-103331,948,3.38
CA-2015-103366,249,149.95
CA-2015-103373,1160,779.796
CA-2015-103401,1177,12.96
CA-2015-103429,1164,235.95
CA-2015-103429,1419,25.584
CA-2015-103429,1002,39.96
CA-2015-103429,927,464.0
CA-2015-103492,310,0.898
CA-2015-103492,1236,11.98
CA-2015-103492,1544,719.952
CA-2015-103492,530,755.944
CA-2015-103527,709,10.896
CA-2015-103590,1666,62.28
CA-2015-103660,1161,1007.944
CA-2015-103702,477,63.924
CA-2015-103744,785,4.428
CA-2015-103744,874,6.936
CA-2015-103800,1560,16.448
CA-2015-103807,734,15.24
CA-2015-103807,1657,5.95
CA-2015-103849,485,66.112
CA-2015-103849,483,58.112
CA-2015-103849,484,100.792
CA-2015-103940,1399,35.34
CA-2015-103940,143,137.24
CA-2015-103940,1232,57.93
CA-2015-103940,470,30.28
CA-2015-103989,1711,20.016
CA-2015-103989,1046,4.992
CA-2015-103989,1423,33.57
CA-2015-103989,1151,11.808
CA-2015-103989,380,26.16
CA-2015-103989,1806,170.24
CA-2015-103989,530,323.976
CA-2015-104178,1469,6.28
CA-2015-104178,1364,25.92
CA-2015-104178,770,48.84
CA-2015-104178,457,95.1
CA-2015-104269,121,457.568
CA-2015-104283,988,85.98
CA-2015-104283,862,306.2
CA-2015-104283,204,223.96
CA-2015-104402,1765,65.97
CA-2015-104472,394,73.32
CA-2015-104472,448,59.808
CA-2015-104563,1887,436.704
CA-2015-104563,1519,481.568
CA-2015-104563,106,20.65
CA-2015-104563,359,204.9
CA-2015-104738,318,2.286
CA-2015-104738,906,12.984
CA-2015-104738,249,47.984
CA-2015-104738,827,328.776
CA-2015-104738,1248,217.584
CA-2015-104773,118,60.416
CA-2015-104780,184,31.84
CA-2015-104808,836,17.248
CA-2015-104829,1427,21.98
CA-2015-104976,375,34.68
CA-2015-105165,745,200.795
CA-2015-105165,1611,21.864
CA-2015-105165,350,2.92
CA-2015-105165,1219,46.688
CA-2015-105165,1379,196.776
CA-2015-105172,1053,18.9
CA-2015-105249,1131,411.332
CA-2015-105249,257,41.4
CA-2015-105249,330,7.36
CA-2015-105270,1165,112.648
CA-2015-105270,404,30.48
CA-2015-105340,1013,6.928
CA-2015-105417,445,76.728
CA-2015-105417,996,10.43
CA-2015-105648,982,626.352
CA-2015-105872,722,70.368
CA-2015-105893,17,665.88
CA-2015-105984,1014,611.058
CA-2015-105984,761,1049.97
CA-2015-106054,322,12.78
CA-2015-106229,366,268.935
CA-2015-106264,860,3.48
CA-2015-106264,170,11.91
CA-2015-106376,66,1113.024
CA-2015-106376,67,167.968
CA-2015-106439,1237,146.352
CA-2015-106439,1035,12.39
CA-2015-106439,1242,15.968
CA-2015-106439,1244,19.296
CA-2015-106439,1240,11.34
CA-2015-106439,1243,64.74
CA-2015-106439,543,405.64
CA-2015-106439,1241,80.3
CA-2015-106439,1142,251.91
CA-2015-106572,552,264.32
CA-2015-106719,1494,8.288
CA-2015-106726,741,1261.33
CA-2015-106803,583,24.56
CA-2015-106803,544,119.8
CA-2015-106810,629,310.88
CA-2015-106971,107,475.944
CA-2015-107139,447,180.96
CA-2015-107153,425,46.26
CA-2015-107181,662,82.896
CA-2015-107181,739,34.24
CA-2015-107398,307,6.528
CA-2015-107398,536,20.856
CA-2015-107398,1326,2.862
CA-2015-107454,953,89.34
CA-2015-107454,646,34.86
CA-2015-107524,154,11.36
CA-2015-107524,58,36.4
CA-2015-107573,713,23.472
CA-2015-107594,804,5.58
CA-2015-107594,694,73.98
CA-2015-107706,959,16.176
CA-2015-107755,685,115.36
CA-2015-107769,967,257.98
CA-2015-107811,661,561.584
CA-2015-107811,355,99.92
CA-2015-107818,2,975.92
CA-2015-107818,109,303.84
CA-2015-107818,429,5.88
CA-2015-107818,464,485.88
CA-2015-107916,1517,13.28
CA-2015-107916,1097,12.672
CA-2015-108147,1665,68.48
CA-2015-108147,1380,1676.88
CA-2015-108182,1423,8.952
CA-2015-108189,1533,12.768
CA-2015-108189,856,4.672
CA-2015-108189,1028,9.408
CA-2015-108189,1534,15.36
CA-2015-108189,1055,7.16
CA-2015-108189,671,230.376
CA-2015-108189,259,318.4
CA-2015-108273,1475,56.568
CA-2015-108273,823,36.288
CA-2015-108609,1246,1421.664
CA-2015-108707,746,10.368
CA-2015-108861,1665,136.96
CA-2015-108903,1786,55.984
CA-2015-108903,137,14.48
CA-2015-108903,1101,142.488
CA-2015-109043,519,152.24
CA-2015-109043,1875,91.36
CA-2015-109127,1596,17.28
CA-2015-109134,1557,20.04
CA-2015-109218,316,32.4
CA-2015-109232,1476,545.94
CA-2015-109302,921,196.21
CA-2015-109491,540,20.32
CA-2015-109491,1208,62.31
CA-2015-109680,1691,386.34
CA-2015-109855,715,23.744
CA-2015-109855,1212,357.0
CA-2015-109890,1796,35.98
CA-2015-109897,1158,85.44
CA-2015-109897,1440,806.336
